Code,Name,Learning Outcomes,Description
4.1.1.1,Energy stores and systems,Students should be able to: describe energy store changes for common situations; calculate changes involving heating, work done by forces, and work done by currents.,A system is an object or group of objects where energy is redistributed through various stores whenever a change occurs.
4.1.1.2,Changes in energy,Students should be able to: calculate kinetic energy, elastic potential energy, and gravitational potential energy using standard equations.,Moving objects, stretched springs, and raised objects possess energy that can be quantified based on mass, speed, spring constants, and gravitational field strength.
4.1.1.3,Energy changes in systems,Students should be able to: apply the specific heat capacity equation; calculate energy stored or released as temperature changes.,The amount of thermal energy required to change a substance's temperature depends on its mass and its specific heat capacity.
4.1.1.4,Power,Students should be able to: define power as the rate of energy transfer; calculate power using energy or work done over time.,Power is the rate at which work is done or energy is transferred, where one watt is equivalent to an energy transfer of one joule per second.
4.1.2.1,Energy transfers in a system,Students should be able to: describe energy transfers in closed systems; explain how energy is dissipated; identify ways to reduce unwanted transfers.,Energy cannot be created or destroyed, but it is often dissipated as "wasted" heat, which can be managed through lubrication and thermal insulation.
4.1.2.2,Efficiency,Students should be able to: calculate energy and power efficiency as decimals or percentages; (HT only) describe ways to increase efficiency.,Efficiency measures the proportion of total input energy or power that is converted into a useful output.
4.1.3,National and global energy resources,Students should be able to: distinguish between renewable and non-renewable resources; compare reliability and environmental impacts; explain trends in energy use.,Energy resources like fossil fuels, nuclear, and renewables are used for transport, heating, and electricity, each presenting unique social, ethical, and environmental challenges.
4.2.1.1,Standard circuit diagram symbols,Students should be able to: draw and interpret circuit diagrams using standard symbols.,Circuit diagrams use a specific set of universal symbols to represent components like batteries, resistors, and switches.
4.2.1.2,Electrical charge and current,Students should be able to: recall and apply the equation $Q = I t$; understand that current is the rate of flow of charge.,Electric current is the movement of electrical charge through a conductor, requiring a source of potential difference in a closed loop.
4.2.1.3,Current resistance and potential difference,Students should be able to: recall and apply $V = I R$; understand how resistance affects current.,The flow of current through a component is determined by the voltage applied and the resistance it encounters, where higher resistance reduces current.
4.2.1.4,Resistors,Students should be able to: explain $I-V$ characteristics for linear and non-linear components; describe the behavior of LDRs and thermistors.,While some resistors have constant resistance, others like lamps and diodes change resistance based on temperature, light intensity, or current direction.
4.2.2,Series and parallel circuits,Students should be able to: describe differences in current and voltage for series and parallel; calculate total resistance in series.,In series circuits, current is constant and resistance adds up, while in parallel circuits, voltage is constant and total resistance decreases as branches are added.
4.2.3.1,Direct and alternating potential difference,Students should be able to: explain the difference between AC and DC; recall UK mains frequency (50 Hz) and voltage (230 V).,Mains electricity provides an alternating current that constantly reverses direction, whereas batteries provide a direct current flowing in one direction.
4.2.3.2,Mains electricity,Students should be able to: identify wire colors (live, neutral, earth); explain the safety function of the earth wire.,Domestic cables use color-coded wires where the live wire carries the alternating voltage and the earth wire protects against electric shocks during faults.
4.2.4.1,Power,Students should be able to: recall and apply $P = V I$ and $P = I^2 R$; relate power to energy changes over time.,Electrical power is the rate at which an appliance transfers energy, calculated by multiplying the potential difference by the current.
4.2.4.2,Energy transfers in everyday appliances,Students should be able to: recall and apply $E = P t$ and $E = Q V$; describe energy transfers in domestic devices.,The total energy transferred by an appliance depends on its power rating and the duration for which it is used.
4.2.4.3,The National Grid,Students should be able to: explain the use of step-up and step-down transformers; describe the efficiency of the grid.,The National Grid uses high voltages and transformers to transfer electricity across the country with minimal energy loss.
4.2.5.1,Static charge (physics only),Students should be able to: describe how rubbing surfaces transfers electrons; explain attraction and repulsion forces.,Static electricity is caused by the transfer of electrons between insulators, creating positive and negative charges that exert non-contact forces.
4.2.5.2,Electric fields (physics only),Students should be able to: draw electric field patterns; explain how fields cause non-contact forces.,A charged object creates an electric field that exerts a force on other charges, with the field strength decreasing as distance increases.
4.3.1.1,Density of materials,Students should be able to: recall and apply $\rho = m / V$; explain density differences between states using the particle model.,Density measures how much mass is concentrated in a given volume and is determined by the arrangement and spacing of atoms or molecules.
